restaurant_id,address,neighborhood,cross_street,parking,dining,cuisines,hours,phone,website,payment,dress,chef,catering,private_facilities
1,4341 Mackenzie Courts East Lavonneborough CT,Haven,Hammes Forest and Amir Union,Nulla veniam debitis dolorem tempora. Cupiditate veniam aspernatur eum eius et exercitationem. Sunt quasi est nesciunt vel. Aut fugiat similique voluptatem porro enim in saepe harum nihil.,Handcrafted,"Concrete, Plastic","Monday - Friday, 6:00am - 2:00pm",996.290.1029,http://kathryn.com,"Visa, Discover, MasterCard",Awesome Wooden,Talia Bauch,null,Non eius occaecati expedita quos. At ullam inventore repellendus et qui consectetur sapiente et. Perspiciatis dolor sunt error fuga neque. Aut esse sit quod.
2,38426 Rau Knoll North Jarrodberg MS,Port,Joe Radial and Hahn Shoal,Labore repellat qui rem consequatur. Doloribus omnis reiciendis aut.,Generic,Concrete,"Monday - Friday, 3:00am - 9:00pm",576.110.7594,https://christop.net,"Visa, Discover, MasterCard",Refined Plastic,Miss Chauncey Hahn,Alias dolores aut a iusto. Exercitationem perferendis magnam dolores delectus nihil consequatur aliquam hic. Dolore dolor illum dolor quam perferendis veritatis et et est.,null
3,025 Elbert Forest Murrayberg OH,Chester,Rutherford Landing and Schaden Mountain,Expedita iste consequuntur aut vero excepturi voluptatem. Voluptatem voluptas qui dolores ea debitis accusamus vel odio facere. Laboriosam dolore ab aut explicabo ea accusamus vero repellendus. Expedita eos animi inventore quisquam ab optio adipisci. Ut et et aut iste aut qui. Ut quia quia.,Incredible,"Frozen, Wooden","Monday - Friday, 10:00am - 2:00pm",044.056.5619,https://jerrell.name,"Visa, Discover, MasterCard",Ergonomic Wooden,Ruthe Turner,Non repellat illo. Quae asperiores quia est ea omnis. Est sed quos eum sunt commodi magni. Mollitia aliquid voluptatum est in assumenda harum saepe voluptatibus praesentium.,null
4,978 Hermiston Dam McKenzieside SC,Mouth,Leanne Islands and Joey Wells,Est dolore quidem optio facilis nihil fugit vel omnis. Cumque vitae molestias. Itaque consequatur est et. Voluptate quo minus aspernatur vitae vero. Cumque voluptatem error dolor. Quae perferendis aliquid adipisci ut voluptate eos expedita esse in.,Handcrafted,Steel,"Monday - Friday, 4:00am - 7:00pm",1-968-840-6873 x43336,https://gianni.info,"Visa, Discover, MasterCard",Sleek Steel,Omari Greenholt,Est vero optio iusto quia natus sint est assumenda. Nihil tempore in facilis possimus consectetur. Ex consequatur nesciunt.,null
5,64212 Christiansen Ferry Port Vida KS,Furt,Toy Port and Schuster Unions,Fuga ut adipisci odit tempora saepe. Neque adipisci fuga non aut cum. Qui minima est veniam laborum rerum. Alias occaecati quis velit nulla dignissimos illum reiciendis.,Ergonomic,"Fresh, Frozen","Monday - Friday, 3:00am - 2:00pm",(849) 701-5374 x10901,https://nikita.com,"Visa, Discover, MasterCard",Incredible Fresh,Russell Boyle DDS,Occaecati adipisci nihil quod vitae pariatur repudiandae voluptatem quidem. Minus praesentium dolore qui repellat optio. Ut atque consequatur repellendus. Nisi ut quisquam minus in est. Sequi laboriosam ad ipsam corporis occaecati officia deserunt blanditiis quae.,Quos ex eveniet in. Adipisci fuga sed. Suscipit cupiditate facilis. Qui illo inventore quia.
6,228 Schneider Hill Friesenton CO,View,Hammes Street and Richmond Road,Officiis cumque et est rem placeat quibusdam harum ut cumque. Ducimus est accusantium pariatur. Et at ut est cumque eos et voluptate. Est ut modi fuga quod. Voluptatem iure quae ut est debitis et.,Handcrafted,"Frozen, Granite","Monday - Friday, 4:00am - 2:00pm",1-324-603-5922 x69701,http://connor.info,"Visa, Discover, MasterCard",Incredible Plastic,Kyla Glover,null,null
7,67836 Jamaal Cliff Port Margot SC,Shire,Karlee Lights and Nikolaus Harbors,Autem est maxime sapiente et et ea minima expedita. Ut exercitationem corporis. Sunt eum sint enim voluptatibus. Sapiente quis rerum perferendis tempora qui pariatur. Ut quas saepe et repellendus et et nulla.,Tasty,"Frozen, Metal, Concrete","Monday - Friday, 9:00am - 2:00pm",039.154.4038,http://jensen.name,"Visa, Discover, MasterCard",Tasty Frozen,Liam Greenfelder DVM,Optio officia aspernatur est. Laboriosam aut aut qui dolor fugit culpa laudantium. Fuga consequuntur quia assumenda.,null
8,9757 Harber Passage Padbergshire CO,Shire,Schimmel Squares and Goyette Avenue,Et blanditiis dolor voluptatem id et tenetur qui et. Similique doloribus itaque asperiores odio et aperiam.,Ergonomic,Plastic,"Monday - Friday, 4:00am - 2:00pm",784.754.6085,https://asha.info,"Visa, Discover, MasterCard",Small Cotton,Cora Brown,null,Animi quaerat et dolor ullam quas minima quibusdam sed sed. Est quo neque qui est est nobis aut suscipit. Nam ducimus est hic excepturi. Nihil sed repudiandae ipsa iusto.
9,6657 Kozey Rest Port Orlomouth MA,View,Anissa Station and Windler Turnpike,Atque itaque error omnis sequi quaerat laudantium. Qui sed error doloribus dolores rerum. Temporibus fugiat dolores velit. Consequatur assumenda quidem.,Practical,"Granite, Granite, Frozen","Monday - Friday, 10:00am - 8:00pm",490.804.5557,http://don.org,"Visa, Discover, MasterCard",Awesome Wooden,Camilla Bergstrom,Molestiae quisquam laboriosam ex saepe. Sed quaerat sunt odit maxime odit eaque asperiores possimus sint. Quo repudiandae facere. Quia quisquam necessitatibus atque vel et amet voluptatibus enim similique.,null
10,5022 Monahan Lodge Port Selenastad OH,View,Graham River and Sophie View,Adipisci velit dolores est odit perferendis. Natus perferendis temporibus labore autem aspernatur iure commodi doloremque provident.,Handmade,"Wooden, Frozen","Monday - Friday, 6:00am - 3:00pm",1-346-552-8262,https://presley.net,"Visa, Discover, MasterCard",Practical Steel,Angus Renner,null,Eum repellendus harum exercitationem consequatur in sit dolores laboriosam. Enim ipsa voluptatum iusto rerum consequatur velit. Quibusdam laborum non.
